resolved;question_uid;answers_count;answer_uid;date_time;time_difference;time_difference_rank;solution;len;len_rank;wordcount;wordcount_rank;avg_chars_per_word;avg_chars_per_word_rank;sentences;sentences_rank;avg_words_per_sentence;avg_words_per_sentence_rank;longest_sentence;longest_sentence_rank;views;views_rank;loglikelihood;loglikelihood_ascending_rank;loglikelihood_descending_rank;F-K;F-K_ascending_rank;F-K_descending_rank;upvotes;upvotes_rank;has_links;has_code_snippet;has_tags
False;1;1;1.1;04/07/13 22:49;72960.0;1;False;246;1;41;1;6.00;1;3;1;13.67;1;18;1;907;1;0.01;1;1;7.095.413.000.000.000;1;1;0;1;False;False;False
True;2;1;2.1;02/06/13 09:46;9861780.0;1;True;339;1;66;1;5.14;1;4;1;16.50;1;25;1;351;1;0.04;1;1;887645;1;1;0;1;False;False;False
True;3;1;3.1;03/06/13 08:41;7452480.0;1;True;52;1;9;1;5.78;1;1;1;9.00;1;9;1;455;1;0.00;1;1;141.32;1;1;0;1;False;False;False
False;4;7;4.1;16/04/13 15:06;3900.0;1;False;1407;1;240;1;5.86;5;11;2;21.82;2;51;2;880;1;0.25;6;2;39.577.198;7;1;0;1;False;False;False
True;;7;4.2;16/04/13 23:35;34440.0;2;False;239;7;40;6;5.97;4;4;6;10.00;7;18;6;870;2;0.02;2;6;719.91;2;6;0;2;False;False;False
True;;7;4.3;17/04/13 00:20;37140.0;3;False;282;6;34;7;8.29;1;3;7;11.33;6;13;7;867;3;0.01;1;7;6.850.287;1;7;0;3;True;False;False
False;;7;4.4;24/05/13 09:42;3267660.0;4;False;617;5;116;5;5.32;7;9;3;12.89;5;24;4;792;4;0.11;3;4;17.594.371;3;5;0;4;False;False;False
False;;7;4.5;28/05/13 17:38;3641820.0;6;False;1400;2;225;2;6.22;2;15;1;15.00;4;24;5;784;5;0.29;7;1;3896.06;6;2;0;5;True;False;False
False;;7;4.6;28/05/13 18:37;3645360.0;7;False;756;4;141;3;5.36;6;7;4;20.14;3;56;1;782;6;0.14;5;3;21.870.646;4;4;0;6;False;False;False
True;;7;4.7;03/06/13 10:30;3555060.0;5;False;769;3;125;4;6.15;3;5;5;25.00;1;38;3;763;7;0.11;4;5;2283.36;5;3;0;7;False;False;False
True;5;3;5.1;07/06/12 13:37;780.0;1;False;253;1;33;2;7.67;1;3;1;11.00;3;21;1;524;1;0.01;2;2;649.5;3;1;0;1;True;False;False
False;;3;5.2;08/06/12 01:04;2634000.0;2;False;206;2;35;1;5.89;2;2;3;17.50;2;20;2;521;2;0.02;3;1;581235;2;2;0;2;False;False;False
False;;3;5.3;03/06/13 12:52;20993280.0;3;False;68;3;13;3;5.23;3;3;2;4.33;1;6;3;289;3;0.00;1;3;1.394.987;1;3;0;3;False;False;False
False;6;1;6.1;04/06/13 11:40;4654800.0;1;False;318;1;49;1;6.49;1;3;1;16.33;1;25;1;454;1;0.03;1;1;7.577.787;1;1;0;1;True;True;False
True;7;1;7.1;06/06/13 11:11;6480.0;1;True;298;1;49;1;6.08;1;3;1;16.33;1;17;1;488;1;0.03;1;1;7.223.787;1;1;0;1;False;True;False
False;8;2;8.1;04/06/13 10:18;2670300.0;1;False;196;2;35;2;5.60;1;2;2;17.50;2;28;1;348;1;0.01;1;2;5.104.350.000.000.000;1;2;0;1;False;False;False
False;;2;8.2;06/06/13 11:29;7944960.0;2;False;370;1;67;1;5.52;2;3;1;22.33;1;28;2;336;2;0.03;2;1;10.433.187;2;1;0;2;False;False;False
False;9;2;9.1;04/06/13 10:05;2686800.0;1;False;533;1;102;1;5.23;2;5;1;20.40;1;37;1;302;1;0.09;2;1;14.319.660.000.000.000;2;1;0;1;False;False;False
False;;2;9.2;06/06/13 11:33;7962480.0;2;False;167;2;30;2;5.57;1;2;2;15.00;2;15;2;298;2;0.01;1;2;4.504.600.000.000.000;1;2;0;2;False;False;False
True;10;1;10.1;10/06/13 14:09;10554480.0;1;False;144;1;24;1;6.00;1;2;1;12.00;1;14;1;326;1;0.01;1;1;41.389.000.000.000.000;1;1;0;1;False;False;False
True;11;6;11.1;04/06/13 10:48;28200.0;1;False;859;1;146;1;5.88;2;8;1;18.25;3;26;3;561;1;0.19;6;1;22.335.274.999.999.900;6;1;0;1;False;False;False
True;;6;11.2;05/06/13 04:32;2597640.0;2;False;189;5;42;5;4.50;6;3;5;14.00;5;17;5;550;2;0.04;2;5;355.67;2;5;0;2;False;False;False
True;;6;11.3;05/06/13 09:54;2616960.0;3;False;619;2;97;2;6.38;1;4;4;24.25;2;38;1;546;3;0.09;5;2;15.396.675.000.000.000;5;2;0;3;False;True;False
True;;6;11.4;07/06/13 05:02;7869840.0;4;False;417;4;80;4;5.21;5;7;2;11.43;6;26;4;523;4;0.07;4;3;9.800.677.000.000.000;3;4;0;4;False;False;False
True;;6;11.5;07/06/13 17:07;7913340.0;5;False;469;3;82;3;5.72;4;5;3;16.40;4;27;2;517;5;0.06;3;4;13.124.060.000.000.000;4;3;0;5;False;False;False
True;;6;11.6;11/06/13 05:21;18498180.0;6;False;64;6;11;6;5.82;3;2;6;5.50;1;10;6;508;6;0.00;1;6;163555;1;6;0;6;False;False;False
True;12;1;12.1;11/06/13 22:43;36000.0;1;False;490;1;84;1;5.83;1;5;1;16.80;1;28;1;330;1;0.04;1;1;1.406.962;1;1;0;1;False;True;False
True;13;23;13.1;03/06/13 15:32;8220.0;1;False;566;5;98;5;5.78;6;5;5;19.60;14;27;6;1341;1;0.06;19;4;15.142.540.000.000.000;20;4;0;1;False;False;False
False;;23;13.2;04/06/13 07:49;2658840.0;2;False;370;8;62;9;5.97;3;8;3;7.75;5;17;12;1327;2;0.04;14;8;9.550.325;16;8;0;2;True;False;False
False;;23;13.3;04/06/13 09:44;2665740.0;3;False;426;7;77;7;5.53;9;5;6;15.40;20;22;7;1324;3;0.05;17;6;11.350.160.000.000.000;17;7;0;3;False;False;False
False;;23;13.4;04/06/13 10:57;2670120.0;4;False;112;16;19;16;5.89;4;4;8;4.75;9;8;20;1322;4;0.00;1;19;3.166.625.000.000.000;8;16;0;4;False;False;False
False;;23;13.5;04/06/13 11:02;2670420.0;5;False;328;10;62;10;5.29;12;4;9;15.50;19;22;8;1321;5;0.02;12;11;851855;14;10;0;5;False;False;False
False;;23;13.6;04/06/13 11:03;2670480.0;6;False;48;21;9;21;5.33;11;1;21;9.00;3;9;19;1319;6;0.00;2;20;129.52;3;21;0;6;False;False;False
False;;23;13.7;04/06/13 11:08;2670780.0;7;False;19;23;4;22;4.75;21;1;22;4.00;10;4;22;1318;8;0.00;3;21;33.17;1;23;0;7;False;False;False
False;;23;13.8;04/06/13 11:20;2671500.0;8;False;574;4;114;3;5.04;18;4;10;28.50;12;36;3;1308;11;0.10;21;3;14.823.250.000.000.000;19;5;0;8;False;False;False
False;;23;13.9;04/06/13 11:32;2672220.0;9;False;98;18;19;17;5.16;15;2;16;9.50;1;11;16;1304;12;0.01;6;13;25.951.500.000.000.000;6;18;0;9;False;False;False
False;;23;13.10;04/06/13 13:11;2678160.0;10;False;60;20;12;20;5.00;20;2;17;6.00;6;7;21;1319;7;0.00;4;22;15.195.000.000.000.000;4;20;0;10;False;False;False
False;;23;13.11;04/06/13 13:43;2680080.0;11;False;587;3;101;4;5.81;5;6;4;16.83;16;29;4;1315;9;0.06;20;5;15.603.737;21;3;0;11;False;False;False
False;;23;13.12;04/06/13 14:13;2681880.0;12;False;157;14;24;15;6.54;2;3;12;8.00;4;15;14;1312;10;0.01;7;14;41.233.000.000.000.000;10;14;0;12;True;False;False
False;;23;13.13;10/06/13 11:45;18484200.0;20;False;2231;2;200;2;11.15;23;10;1;20.00;13;127;2;1297;13;0.22;22;2;4169.41;22;2;0;13;True;True;False
False;;23;13.14;10/06/13 21:13;18518280.0;21;False;189;13;33;13;5.73;8;3;13;11.00;22;14;15;1292;14;0.01;8;15;4.489.000.000.000.000;11;13;0;14;False;True;False
False;;23;13.15;11/06/13 07:34;21147540.0;22;False;4893;1;326;1;15.01;22;3;14;108.67;23;174;1;1290;15;0.32;23;1;134.315.913;23;1;0;15;False;True;False
False;;23;13.16;12/06/13 11:41;23754360.0;23;False;21;22;4;23;5.25;13;1;23;4.00;11;4;23;1259;16;0.00;5;23;6.857.000.000.000.000;2;22;0;16;False;False;False
False;;23;13.17;13/06/13 09:45;8541000.0;13;False;435;6;79;6;5.51;10;5;7;15.80;18;28;5;1253;17;0.05;18;7;11.941.720.000.000.000;18;6;0;17;False;False;False
False;;23;13.18;13/06/13 10:04;8542140.0;14;False;112;17;17;19;6.59;1;3;15;5.67;7;10;17;1252;18;0.01;9;16;26.982.130.000.000.000;7;17;0;18;True;False;False
False;;23;13.19;13/06/13 10:28;8543580.0;15;False;136;15;27;14;5.04;19;2;18;13.50;21;16;13;1247;19;0.01;10;17;343675;9;15;0;19;False;False;False
False;;23;13.20;13/06/13 10:33;8543880.0;16;False;274;11;54;11;5.07;17;10;2;5.40;8;10;18;1132;20;0.04;15;9;694516;13;11;0;20;False;False;False
False;;23;13.21;13/06/13 10:46;8544660.0;17;False;341;9;66;8;5.17;14;4;11;16.50;17;21;10;1128;21;0.04;16;10;946645;15;9;0;21;False;False;False
False;;23;13.22;13/06/13 10:58;8545380.0;18;False;98;19;19;18;5.16;16;2;19;9.50;2;18;11;1127;22;0.01;11;18;23.591.500.000.000.000;5;19;0;22;False;False;False
True;;23;13.23;13/06/13 11:02;8545620.0;19;False;225;12;39;12;5.77;7;2;20;19.50;15;22;9;1125;23;0.02;13;12;6.174.150.000.000.000;12;12;0;23;False;False;False
True;14;2;14.1;14/06/13 13:09;1560.0;1;True;66;2;10;2;6.60;2;2;1;5.00;1;6;2;468;1;0.00;1;2;16.335.999.999.999.900;1;2;0;1;False;False;False
False;;2;14.2;17/06/13 12:47;259440.0;2;False;244;1;35;1;6.97;1;2;2;17.50;2;28;1;436;2;0.01;2;1;6.284.350.000.000.000;2;1;0;2;True;False;False
True;15;1;15.1;08/05/13 14:13;5237340.0;1;False;87;1;18;1;4.83;1;1;1;18.00;1;18;1;169;1;0.01;1;1;23.923.000.000.000.000;1;1;0;1;False;False;False
True;16;2;16.1;27/03/13 11:19;1920.0;1;True;359;2;46;2;7.80;1;2;1;23.00;2;31;2;265;1;0.03;2;1;8.901.800.000.000.000;1;2;0;1;True;True;False
False;;2;16.2;27/03/13 13:35;10080.0;2;False;580;1;50;1;11.60;2;1;2;50.00;1;50;1;261;2;0.02;1;2;11.367.100.000.000.000;2;1;0;2;False;True;False
False;17;1;17.1;29/03/13 20:30;28380.0;1;True;398;1;60;1;6.63;1;3;1;20.00;1;35;1;222;1;0.03;1;1;1101.41;1;1;0;1;False;True;False
False;18;9;18.1;28/03/13 16:21;900.0;1;False;270;4;44;4;6.14;3;4;3;11.00;9;15;4;825;1;0.01;4;4;720.3;6;4;0;1;False;False;False
True;;9;18.2;28/03/13 16:26;1200.0;2;False;96;5;17;5;5.65;5;2;5;8.50;1;12;6;823;2;0.01;5;5;235525;5;5;0;2;False;False;False
True;;9;18.3;28/03/13 23:18;25920.0;3;False;17;9;3;9;5.67;4;1;8;3.00;3;3;8;811;3;0.00;1;7;44.58;1;9;0;3;False;False;False
False;;9;18.4;29/03/13 07:21;54900.0;4;False;73;6;15;6;4.87;9;1;9;15.00;8;15;5;808;4;0.01;6;6;167.26;4;6;0;4;False;False;False
False;;9;18.5;29/03/13 10:34;66480.0;5;False;55;7;10;7;5.50;6;2;6;5.00;2;8;7;806;5;0.00;2;8;116.16;3;7;0;5;False;False;False
False;;9;18.6;29/03/13 16:31;87900.0;6;False;359;3;68;3;5.28;7;4;4;17.00;6;30;3;796;6;0.03;7;3;958.64;7;3;0;6;False;False;False
False;;9;18.7;02/04/13 09:31;4516500.0;9;False;1191;1;153;1;7.78;1;10;1;15.30;7;41;1;764;7;0.18;9;1;3.164.577;9;1;0;7;True;True;False
True;;9;18.8;02/04/13 10:18;4513680.0;8;True;915;2;132;2;6.93;2;5;2;26.40;5;38;2;758;8;0.16;8;2;25.671.059.999.999.900;8;2;0;8;True;False;False
False;;9;18.9;02/04/13 10:45;4512060.0;7;False;31;8;6;8;5.17;8;2;7;3.00;4;3;9;755;9;0.00;3;9;68.18;2;8;0;9;False;False;False
False;19;1;19.1;02/04/13 13:26;21900.0;1;False;349;1;63;1;5.54;1;5;1;12.60;1;33;1;185;1;0.03;1;1;980524;1;1;0;1;False;False;False
False;20;8;20.1;02/04/13 16:19;2880.0;1;False;427;3;38;4;11.24;8;2;7;19.00;6;20;2;560;1;0.01;1;4;10.656.200.000.000.000;6;3;0;1;True;True;False
False;;8;20.2;02/04/13 16:43;4320.0;2;False;108;8;22;8;4.91;6;3;3;7.33;5;11;8;556;2;0.01;2;5;25.866.870.000.000.000;1;8;0;2;False;False;False
