answers_count,date_time,time_difference,solution,len,wordcount,has_links
7,'2008-08-06 08:02:10',579,False,616,99,False
7,'2008-08-06 08:08:20',949,False,785,131,False
7,'2008-08-07 12:14:49',102138,False,266,42,True
7,'2008-08-08 07:46:19',172428,False,508,87,False
7,'2008-08-16 17:41:20',899329,False,751,119,False
7,'2008-08-18 18:48:30',1076159,True,365,48,True
7,'2013-07-15 20:07:20',155909689,False,1021,185,False
9,'2008-08-07 04:04:55',1088,False,129,25,False
9,'2008-08-07 04:20:47',2040,True,141,12,False
9,'2008-08-07 04:25:22',2315,False,126,16,True
9,'2008-08-07 05:05:34',4727,False,602,91,False
9,'2008-08-07 19:20:00',55993,False,708,110,True
9,'2008-08-08 23:17:12',156625,False,1250,205,False
9,'2008-09-09 22:49:56',2919789,False,381,52,False
9,'2008-09-18 14:28:50',3667323,False,684,113,False
9,'2012-02-10 19:00:40',110819633,False,601,49,False
1,'2008-08-08 05:46:48',636,False,529,90,True
4,'2008-08-12 11:23:28',541,False,799,147,False
4,'2008-08-13 01:34:06',51579,False,525,97,False
4,'2008-08-14 17:37:54',195807,False,1756,213,False
4,'2008-09-22 04:02:03',3516456,True,651,108,True
2,'2008-08-13 16:35:51',355,False,156,21,False
2,'2008-08-13 16:54:08',1452,False,174,17,False
3,'2008-08-14 03:08:02',1704,False,281,50,False
3,'2008-08-14 03:21:02',2484,False,706,129,False
3,'2008-08-15 04:24:56',92718,True,65,13,False
8,'2008-08-18 13:47:41',326360,True,2809,339,False
8,'2009-03-29 02:12:51',19551870,False,440,76,False
8,'2010-06-01 00:38:22',56611801,False,196,32,False
8,'2010-06-01 08:59:49',56641888,False,157,26,False
8,'2010-06-01 21:19:14',56686253,False,443,72,False
8,'2011-01-25 09:50:51',77208150,False,950,144,True
8,'2011-08-20 16:57:40',95118559,False,7092,721,True
8,'2012-04-02 15:43:35',114640514,False,786,139,False
10,'2008-08-16 05:23:09',1080,True,551,102,False
10,'2008-08-16 05:27:22',1333,False,796,124,True
10,'2008-08-16 05:34:03',1734,False,239,46,False
10,'2008-08-16 06:58:31',6802,False,52,10,False
10,'2008-08-16 08:44:31',13162,False,63,12,False
10,'2008-08-16 09:26:18',15669,False,212,36,False
10,'2008-08-16 11:21:08',22559,False,1202,213,False
10,'2008-09-09 22:59:23',2138054,False,671,112,False
10,'2008-09-10 09:13:12',2174883,False,485,90,False
10,'2010-12-13 20:03:44',73407515,False,304,62,False
2,'2008-08-17 14:52:09',249,True,464,74,False
2,'2008-08-17 17:36:21',10101,False,832,144,False
5,'2008-08-18 19:47:19',340,False,832,154,False
5,'2008-08-18 19:47:42',363,False,117,19,False
5,'2008-08-18 19:50:18',519,True,311,61,False
5,'2008-08-18 19:50:22',523,False,876,143,True
5,'2008-08-18 20:29:14',2855,False,378,56,False
91,'2008-08-19 01:51:22',919,False,32,4,False
91,'2008-08-19 02:03:53',1670,False,127,22,False
91,'2008-08-19 02:06:42',1839,False,395,44,True
91,'2008-08-19 16:47:35',54692,False,534,85,False
91,'2008-08-19 20:09:17',66794,False,585,85,False
91,'2008-08-20 10:07:43',117100,False,190,38,False
91,'2008-08-20 11:30:49',122086,False,483,96,False
91,'2008-08-29 19:17:46',927703,False,239,35,False
91,'2008-08-29 19:29:40',928417,False,722,112,False
91,'2008-08-29 19:36:48',928845,False,151,27,False
91,'2008-09-02 12:57:04',1250461,False,403,73,False
91,'2008-09-03 00:33:17',1292234,False,258,42,False
91,'2008-09-03 01:29:39',1295616,False,155,29,False
91,'2008-09-03 21:51:46',1368943,False,592,100,False
91,'2008-09-04 15:55:03',1433940,False,224,46,False
91,'2008-09-06 09:07:16',1582273,False,367,63,False
91,'2008-09-06 14:27:50',1601507,False,1216,144,False
91,'2008-09-08 13:24:57',1770534,False,55,10,False
91,'2008-09-08 16:38:47',1782164,False,88,12,False
91,'2008-09-09 21:10:31',1884868,False,358,56,False
91,'2008-09-10 17:20:11',1957448,False,122,23,False
91,'2008-09-11 01:15:19',1985956,False,157,27,False
91,'2008-09-11 02:09:12',1989189,False,114,14,False
91,'2008-09-15 15:50:33',2384070,False,63,13,False
91,'2008-09-15 15:55:15',2384352,False,153,20,False
91,'2008-09-15 16:08:02',2385119,False,345,53,False
91,'2008-09-15 16:19:57',2385834,False,212,35,False
91,'2008-09-15 16:49:51',2387628,False,473,62,True
91,'2008-09-16 18:35:19',2480356,False,667,112,False
91,'2008-09-16 20:01:59',2485556,False,244,47,False
91,'2008-09-17 11:39:29',2541806,False,399,58,True
91,'2008-09-17 13:23:06',2548023,False,131,22,False
91,'2008-09-17 17:37:59',2563316,False,683,101,True
91,'2008-09-19 13:02:49',2719606,False,699,90,False
91,'2008-09-19 13:35:12',2721549,False,776,94,False
91,'2008-09-24 19:37:07',3175264,False,833,146,False
91,'2008-09-26 03:30:29',3290066,False,644,98,False
91,'2008-09-26 13:06:23',3324620,False,223,25,False
