answers_count;time_difference;solution;len;wordcount
7;579;False;616;99
7;949;False;785;131
7;102138;False;266;42
7;172428;False;508;87
7;899329;False;751;119
7;1076159;True;365;48
7;155909689;False;1021;185
9;1088;False;129;25
9;2040;True;141;12
9;2315;False;126;16
9;4727;False;602;91
9;55993;False;708;110
9;156625;False;1250;205
9;2919789;False;381;52
9;3667323;False;684;113
9;110819633;False;601;49
1;636;False;529;90
4;541;False;799;147
4;51579;False;525;97
4;195807;False;1756;213
4;3516456;True;651;108
2;355;False;156;21
2;1452;False;174;17
3;1704;False;281;50
3;2484;False;706;129
3;92718;True;65;13
8;326360;True;2809;339
8;19551870;False;440;76
8;56611801;False;196;32
8;56641888;False;157;26
8;56686253;False;443;72
8;77208150;False;950;144
8;95118559;False;7092;721
8;114640514;False;786;139
10;1080;True;551;102
10;1333;False;796;124
10;1734;False;239;46
10;6802;False;52;10
10;13162;False;63;12
10;15669;False;212;36
10;22559;False;1202;213
10;2138054;False;671;112
10;2174883;False;485;90
10;73407515;False;304;62
2;249;True;464;74
2;10101;False;832;144
5;340;False;832;154
5;363;False;117;19
5;519;True;311;61
5;523;False;876;143
5;2855;False;378;56
91;919;False;32;4
91;1670;False;127;22
91;1839;False;395;44
91;54692;False;534;85
91;66794;False;585;85
91;117100;False;190;38
91;122086;False;483;96
91;927703;False;239;35
91;928417;False;722;112
91;928845;False;151;27
91;1250461;False;403;73
91;1292234;False;258;42
91;1295616;False;155;29
91;1368943;False;592;100
91;1433940;False;224;46
91;1582273;False;367;63
91;1601507;False;1216;144
91;1770534;False;55;10
91;1782164;False;88;12
91;1884868;False;358;56
91;1957448;False;122;23
91;1985956;False;157;27
91;1989189;False;114;14
91;2384070;False;63;13
91;2384352;False;153;20
91;2385119;False;345;53
91;2385834;False;212;35
91;2387628;False;473;62
91;2480356;False;667;112
91;2485556;False;244;47
91;2541806;False;399;58
91;2548023;False;131;22
91;2563316;False;683;101
91;2719606;False;699;90
91;2721549;False;776;94
91;3175264;False;833;146
91;3290066;False;644;98
91;3324620;False;223;25
91;3368114;False;891;125
91;3506959;False;232;36
91;3961414;False;519;85
91;4207128;False;626;115
91;5661733;False;289;41
91;5956056;False;122;12
91;5956601;False;1337;135
91;6622003;False;357;60
91;7399416;False;388;67
91;8102578;False;83;11
91;8616499;False;211;36
91;9175526;False;322;48
91;9310554;False;617;91
91;11677415;False;459;70
91;14141320;False;115;19
91;14653358;False;734;114
91;14656560;False;284;36
91;15765628;False;981;127
91;15767174;False;718;118
91;15767346;False;129;17
91;15881657;False;890;120
91;16177593;False;4398;513
91;21088252;False;88;15
91;22990299;False;125;21
91;24929783;False;1179;107
91;24996644;False;1202;209
91;25641265;False;905;138
91;26523685;False;196;30
91;26529002;False;1594;268
91;26573663;False;137;24
91;29641501;False;250;38
91;31132777;False;2444;299
91;31653029;False;77;17
91;38237038;False;1668;212
91;40151265;False;842;137
91;40152420;False;428;74
91;40201413;False;398;53
91;40661534;False;183;34
91;40714346;False;100;17
91;41077414;False;297;19
91;41897493;False;597;87
91;43957678;False;150;19
91;44360620;False;163;12
91;45089824;False;425;78
91;45294243;False;129;23
91;45302988;False;1941;259
91;47447619;False;107;18
91;48519705;False;1202;170
91;56964663;False;315;33
91;58051705;False;436;76
91;58590001;False;438;79
91;58775399;False;600;103
91;59244397;False;350;49
15;457;False;1098;198
15;786;False;1099;203
15;898;False;1567;262
15;1058;False;221;38
15;2378;False;58;11
15;3871;False;703;116
15;5090;False;426;77
15;30946;False;1141;208
15;133202;False;1892;327
15;136721;False;123;22
15;152956;False;160;28
15;267316;False;1675;289
15;631533;False;1165;198
15;632151;False;427;69
15;648467;False;1339;216
6;110;False;303;51
6;175;False;253;38
6;200;False;122;26
6;1097;False;557;111
6;1232;False;234;32
6;1320;True;269;50
3;142;False;225;39
3;204;True;433;65
3;438;False;245;34
3;171;True;753;123
3;147773465;False;789;95
3;180039945;False;119;19
4;89;False;70;15
4;2788;False;129;23
4;61883;True;262;47
4;17693210;False;235;34
6;1426;False;105;21
6;1529;False;355;71
6;50060;False;80;13
6;14205564;False;1423;226
6;110374080;False;130;24
6;134732389;False;215;36
7;2320;False;412;77
7;3336;False;1245;180
7;30261;True;391;61
7;49203;False;214;38
7;90330118;False;162;27
7;159276907;False;172;15
7;187789115;False;128;24
4;329;False;293;55
4;2196;False;473;82
4;2845;False;390;68
4;1864875;True;173;29
6;45;False;251;40
6;143;True;194;36
6;167;False;250;47
6;301;False;102;20
6;392;False;540;110
6;571;False;344;63
5;60;True;176;28
5;112;False;90;14
5;2923;False;263;41
5;3607;False;291;50
5;150132449;False;272;39
2;871;False;553;53
2;1012;True;1058;197
9;124;False;177;35
9;419;False;336;61
9;512;False;509;77
9;534;False;140;26
