*******  Scott-Knott clusters  *******
 [1] 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 4 4 5 5 6 6 7 8

                    mean    m - se    m + se
xgbTree        0.8493471 0.8438273 0.8548669
gbm            0.8311709 0.8254607 0.8368811
pcaNNet        0.8275358 0.8236272 0.8314444
earth          0.8271421 0.8232166 0.8310677
nnet           0.8182975 0.8146533 0.8219418
gamboost       0.8174018 0.8128596 0.8219440
LMT            0.8162975 0.8113556 0.8212394
avNNet         0.8152975 0.8125222 0.8180729
C5.0           0.8123805 0.8086970 0.8160639
AdaBoost.M1    0.8123058 0.8087178 0.8158939
multinom       0.8073537 0.7980403 0.8166671
rf             0.8064757 0.7995188 0.8134325
lda2           0.7998454 0.7897522 0.8099385
mlpWeightDecay 0.7993013 0.7875638 0.8110389
glm            0.7932571 0.7892430 0.7972712
nb             0.7880246 0.7820225 0.7940267
mlp            0.7862086 0.7831697 0.7892475
fda            0.7828436 0.7753258 0.7903614
pda            0.7778436 0.7709510 0.7847362
knn            0.7627876 0.7586370 0.7669382
LogitBoost     0.7395778 0.7360467 0.7431089
treebag        0.7297960 0.7150964 0.7444955
J48            0.7121135 0.7058540 0.7183730
rpart          0.7117373 0.7094605 0.7140142
svmLinear      0.6437010 0.6372110 0.6501910
JRip           0.5940794 0.5810997 0.6070591
